story_id,obs1,obs2,real_hypothesis,comet_model,abduction_gpt_lg_model,abduction_gpt_md_model,abduction_gpt_sm_model
009089dc-6986-4152-849b-43c4acb55bd6-1,Missy love her chocolate.,Missy got the biggest chocolate bar and became super happy.,She went down to the beach to get some.,Missy made herself a cup of chocolate chips.,Missy had a lot of chocolate.  came to every five minutes. ,Missy went to the candy store. ,Missy loved chocolate. Missy bought a chocolate bar. Missy went to the store
00b9adb2-b3b6-4737-902a-50f308bac4b5-1,My baby would not go to sleep last night.,I wound up driving for hours.,I left my baby in the house and drove around.,My baby fell asleep that night.,I took a drive to get my baby to sleep.  is she will be tired so I hit a,I took a drive to get my baby to sleep. ,I was late for work. I was late for work. I was late for work
00b9adb2-b3b6-4737-902a-50f308bac4b5-1,My baby would not go to sleep last night.,I wound up driving for hours.,I realized he needed his blanket which was upstairs.,My baby stayed in bed for two hours.,I took a drive to get my baby to sleep.  is she will be tired so I hit a,I took a drive to get my baby to sleep. ,I was late for work. I was late for work. I was late for work
00b9adb2-b3b6-4737-902a-50f308bac4b5-1,My baby would not go to sleep last night.,I wound up driving for hours.,I took a drive to get my baby to sleep.,My baby's mother asked me to drive her.,I took a drive to get my baby to sleep.  is she will be tired so I hit a,I took a drive to get my baby to sleep. ,I was late for work. I was late for work. I was late for work
00b9adb2-b3b6-4737-902a-50f308bac4b5-1,My baby would not go to sleep last night.,I wound up driving for hours.,I rocked my baby for a while and she fell asleep in my arms.,The baby was waking up.,I took a drive to get my baby to sleep.  is she will be tired so I hit a,I took a drive to get my baby to sleep. ,I was late for work. I was late for work. I was late for work
00c1dafa-24a4-4427-8dc4-0768842c3166-1,Ramona went to her first horse racing event the other day.,Ramona couldn't wait to go back.,Ramona liked the horse race.,Ramona had the greatest time.,Ramona liked the horse race.  was a new horse ride. ,Ramona liked the horse race. ,Ramona was so excited to go back. [SEP]Ramona was very excited to go. Ramona was very nervous
00c1dafa-24a4-4427-8dc4-0768842c3166-1,Ramona went to her first horse racing event the other day.,Ramona couldn't wait to go back.,Ramona had a lot of fun there.,Ramona was so excited she went horseback riding.,Ramona liked the horse race.  was a new horse ride. ,Ramona liked the horse race. ,Ramona was so excited to go back. [SEP]Ramona was very excited to go. Ramona was very nervous
00c1dafa-24a4-4427-8dc4-0768842c3166-1,Ramona went to her first horse racing event the other day.,Ramona couldn't wait to go back.,"Ramona decided to place a bet at the track, but lost.",Ramona was the youngest at the race.,Ramona liked the horse race.  was a new horse ride. ,Ramona liked the horse race. ,Ramona was so excited to go back. [SEP]Ramona was very excited to go. Ramona was very nervous
00c1dafa-24a4-4427-8dc4-0768842c3166-1,Ramona went to her first horse racing event the other day.,Ramona couldn't wait to go back.,A horse placed a bet on Ramona.,Ramona was so excited.,Ramona liked the horse race.  was a new horse ride. ,Ramona liked the horse race. ,Ramona was so excited to go back. [SEP]Ramona was very excited to go. Ramona was very nervous
01190e6f-e419-4648-8061-b2cf446300f1-1,Johnny got a new pet fish for his birthday.,"Afterwards, he changed the water and put Nemo back into his tank.",He put fish in the clean tank.,The fish got mixed up.,Johnny got a dirty fish for his birthday.  was the again's favorite. ,Johnny's fish was not happy. ,Johnny decided to put the fish back in his tank. Nemo was too small. Nemo was too small
01190e6f-e419-4648-8061-b2cf446300f1-1,Johnny got a new pet fish for his birthday.,"Afterwards, he changed the water and put Nemo back into his tank.",Johnny's fish tanks became dirty from his new fish.,Johnny fed his fish with water.,Johnny got a dirty fish for his birthday.  was the again's favorite. ,Johnny's fish was not happy. ,Johnny decided to put the fish back in his tank. Nemo was too small. Nemo was too small
01190e6f-e419-4648-8061-b2cf446300f1-1,Johnny got a new pet fish for his birthday.,"Afterwards, he changed the water and put Nemo back into his tank.",One of the toddlers at the party dropped his stuffed animal into Johnnies fish tank.,Johnny's friends and family asked him to share the fish with them.,Johnny got a dirty fish for his birthday.  was the again's favorite. ,Johnny's fish was not happy. ,Johnny decided to put the fish back in his tank. Nemo was too small. Nemo was too small
01190e6f-e419-4648-8061-b2cf446300f1-1,Johnny got a new pet fish for his birthday.,"Afterwards, he changed the water and put Nemo back into his tank.",The water in his fish tank got dirty.,Johnny asked the neighbor to water his tank.,Johnny got a dirty fish for his birthday.  was the again's favorite. ,Johnny's fish was not happy. ,Johnny decided to put the fish back in his tank. Nemo was too small. Nemo was too small
016d44ba-153a-447a-990e-a0418128b3b1-1,Timmy loved snow cones.,He opened it quickly and smiled looking at his snow cone maker.,Timmy had a credit card bill to open.,"Timmy got really hot, and decided to open the snow cone maker.",Timmy's mother gave him a snow cone for his birthday.  came the again. ,Timmy's mom bought Timmy's snow cone. ,Timmy bought a snow cone. Timmy bought a snow cone. Timmy bought a snow cone
016d44ba-153a-447a-990e-a0418128b3b1-1,Timmy loved snow cones.,He opened it quickly and smiled looking at his snow cone maker.,Timmy ordered a snow cone maker and it came in the mail.,Timmy decided to open his own snow cone maker.,Timmy's mother gave him a snow cone for his birthday.  came the again. ,Timmy's mom bought Timmy's snow cone. ,Timmy bought a snow cone. Timmy bought a snow cone. Timmy bought a snow cone
016d44ba-153a-447a-990e-a0418128b3b1-1,Timmy loved snow cones.,He opened it quickly and smiled looking at his snow cone maker.,Timmy's mother bought Timmy a surprise gift for his birthday.,Timmy bought his own snow cone maker.,Timmy's mother gave him a snow cone for his birthday.  came the again. ,Timmy's mom bought Timmy's snow cone. ,Timmy bought a snow cone. Timmy bought a snow cone. Timmy bought a snow cone
01a99ade-125a-4639-b01a-745252e5f3d9-1,"When I was young, my friend bought me a Ouija board.",I threw it away the next day.,I swear a spirit spoke to me through the Ouija board.,I was able to control the word while I play.,I tried to play with it for a few days.  came around in a lot of made me think about,I tried to get my board taken. ,I decided to throw it out. I accidentally threw it in the trash. I accidentally threw it in the trash
01a99ade-125a-4639-b01a-745252e5f3d9-1,"When I was young, my friend bought me a Ouija board.",I threw it away the next day.,"I tried the board by myself, but nothing happened.",I ate a snack without doing any research.,I tried to play with it for a few days.  came around in a lot of made me think about,I tried to get my board taken. ,I decided to throw it out. I accidentally threw it in the trash. I accidentally threw it in the trash
01a99ade-125a-4639-b01a-745252e5f3d9-1,"When I was young, my friend bought me a Ouija board.",I threw it away the next day.,I watch a documentary movie that night based around the great Ouija board.,I did not get the proper process.,I tried to play with it for a few days.  came around in a lot of made me think about,I tried to get my board taken. ,I decided to throw it out. I accidentally threw it in the trash. I accidentally threw it in the trash
01a99ade-125a-4639-b01a-745252e5f3d9-1,"When I was young, my friend bought me a Ouija board.",I threw it away the next day.,It did some hilarious things that scared me.,I ended up with severe worms that messed up the board.,I tried to play with it for a few days.  came around in a lot of made me think about,I tried to get my board taken. ,I decided to throw it out. I accidentally threw it in the trash. I accidentally threw it in the trash
01a99ade-125a-4639-b01a-745252e5f3d9-1,"When I was young, my friend bought me a Ouija board.",I threw it away the next day.,My big brother told me scary stories about it.,I didn't care if it lasted a year.,I tried to play with it for a few days.  came around in a lot of made me think about,I tried to get my board taken. ,I decided to throw it out. I accidentally threw it in the trash. I accidentally threw it in the trash
01d60144-b7d0-4c56-9c7f-1c8e5663c2d5-1,Brenda found a kitten outside of her house.,Brenda was happy with this unexpected gift.,Brenda loved playing with the kitten.,Brenda realized she didn't like the kitten.,Brenda loved playing with the kitten.  was her favorite animal. ,Brenda saw a kitten in the backyard. ,Brenda found a kitten in the woods. Brenda found a kitten. Brenda found a kitten
01d60144-b7d0-4c56-9c7f-1c8e5663c2d5-1,Brenda found a kitten outside of her house.,Brenda was happy with this unexpected gift.,Brenda took the kitten in and it made itself at home.,Brenda saw the kitten turned over a week earlier than usual.,Brenda loved playing with the kitten.  was her favorite animal. ,Brenda saw a kitten in the backyard. ,Brenda found a kitten in the woods. Brenda found a kitten. Brenda found a kitten
01d60144-b7d0-4c56-9c7f-1c8e5663c2d5-1,Brenda found a kitten outside of her house.,Brenda was happy with this unexpected gift.,Brenda was excited and kept the cat.,Brenda got a kitten at the store for Christmas.,Brenda loved playing with the kitten.  was her favorite animal. ,Brenda saw a kitten in the backyard. ,Brenda found a kitten in the woods. Brenda found a kitten. Brenda found a kitten
01d60144-b7d0-4c56-9c7f-1c8e5663c2d5-1,Brenda found a kitten outside of her house.,Brenda was happy with this unexpected gift.,Brenda woke up one day to find that her parents had adopted the kitten.,The kitten did not mind Brenda's gift.,Brenda loved playing with the kitten.  was her favorite animal. ,Brenda saw a kitten in the backyard. ,Brenda found a kitten in the woods. Brenda found a kitten. Brenda found a kitten
01d60144-b7d0-4c56-9c7f-1c8e5663c2d5-1,Brenda found a kitten outside of her house.,Brenda was happy with this unexpected gift.,She had been thinking of getting a dog.,Brenda bought a kitten that she thought she saw.,Brenda loved playing with the kitten.  was her favorite animal. ,Brenda saw a kitten in the backyard. ,Brenda found a kitten in the woods. Brenda found a kitten. Brenda found a kitten
01d81ad2-d3ad-419c-a47c-f19c4f8892c5-1,Tom moved into a house that was very old.,After taking a fresh air break he finished pulling the rug.,"When Tom pulled up the rug, he choked on dust.",Tom would not enjoy blowing air.,Tom needed to take a break from the air.  was hungry. ,Tom needed to take a break from the air. ,Tom was tired of walking around the house. Tom walked around the house. Tom was tired of walking around
01d81ad2-d3ad-419c-a47c-f19c4f8892c5-1,Tom moved into a house that was very old.,After taking a fresh air break he finished pulling the rug.,He was pulling rugs and needed a break.,Tom realized that the house was finished when he went back to leave.,Tom needed to take a break from the air.  was hungry. ,Tom needed to take a break from the air. ,Tom was tired of walking around the house. Tom walked around the house. Tom was tired of walking around
01d81ad2-d3ad-419c-a47c-f19c4f8892c5-1,Tom moved into a house that was very old.,After taking a fresh air break he finished pulling the rug.,Tom felt invigorated when he was moving the rug.,Tom had to pull the rug out of the house.,Tom needed to take a break from the air.  was hungry. ,Tom needed to take a break from the air. ,Tom was tired of walking around the house. Tom walked around the house. Tom was tired of walking around
01d81ad2-d3ad-419c-a47c-f19c4f8892c5-1,Tom moved into a house that was very old.,After taking a fresh air break he finished pulling the rug.,Tom needed to take a break from the air.,Tom did not realize he was moving.,Tom needed to take a break from the air.  was hungry. ,Tom needed to take a break from the air. ,Tom was tired of walking around the house. Tom walked around the house. Tom was tired of walking around
01d9562f-e539-437f-aad7-6aac08648ed4-1,Gina and her family were at her uncle frank's house.,"Gina knew she made a mistake, and it was too late to fix it.",Gina let the cat out and it got lost.,Gina's old refrigerator had been broken.,Gina forgot to bring the roast.  was a mess. ,Gina forgot to bring the roast. ,Gina's uncle Frank was very rude to Gina. Gina's uncle Frank was rude to Gina. Gina's uncle Frank was rude to Gina
01d9562f-e539-437f-aad7-6aac08648ed4-1,Gina and her family were at her uncle frank's house.,"Gina knew she made a mistake, and it was too late to fix it.",Gina brought the roast and sides.,The fridge got crushed.,Gina forgot to bring the roast.  was a mess. ,Gina forgot to bring the roast. ,Gina's uncle Frank was very rude to Gina. Gina's uncle Frank was rude to Gina. Gina's uncle Frank was rude to Gina
01d9562f-e539-437f-aad7-6aac08648ed4-1,Gina and her family were at her uncle frank's house.,"Gina knew she made a mistake, and it was too late to fix it.",Gina was jumping on the guest bed and ended up breaking a fragile and one of a kind collectible on the bed stand and she bought another.,Gina did not see her nephew.,Gina forgot to bring the roast.  was a mess. ,Gina forgot to bring the roast. ,Gina's uncle Frank was very rude to Gina. Gina's uncle Frank was rude to Gina. Gina's uncle Frank was rude to Gina
01d9562f-e539-437f-aad7-6aac08648ed4-1,Gina and her family were at her uncle frank's house.,"Gina knew she made a mistake, and it was too late to fix it.",Gina broke her leg while running.,A light bulb went off in Gina's bathroom.,Gina forgot to bring the roast.  was a mess. ,Gina forgot to bring the roast. ,Gina's uncle Frank was very rude to Gina. Gina's uncle Frank was rude to Gina. Gina's uncle Frank was rude to Gina
021883ea-a249-4d0d-87cf-20f3d76860e1-1,Alex had his heart set on an ivy league college.,Alex ended up achieving his dream of getting into the school,Alex applied to Harvard too late.,Alex decided to do sports at his college.,Alex played basketball professionally.  came into Alex's heart set. ,Alex applied to Harvard. ,Alex was excited to go to college. [SEP]Alex enrolled in a college. Alex enrolled in a college
021883ea-a249-4d0d-87cf-20f3d76860e1-1,Alex had his heart set on an ivy league college.,Alex ended up achieving his dream of getting into the school,Alex failed to play basketball succesfully.,Alex graduated and studied hard.,Alex played basketball professionally.  came into Alex's heart set. ,Alex applied to Harvard. ,Alex was excited to go to college. [SEP]Alex enrolled in a college. Alex enrolled in a college
021883ea-a249-4d0d-87cf-20f3d76860e1-1,Alex had his heart set on an ivy league college.,Alex ended up achieving his dream of getting into the school,Alex foolishly didn't study or worked very hard.,Alex is hoping to get into the ivy league.,Alex played basketball professionally.  came into Alex's heart set. ,Alex applied to Harvard. ,Alex was excited to go to college. [SEP]Alex enrolled in a college. Alex enrolled in a college
021883ea-a249-4d0d-87cf-20f3d76860e1-1,Alex had his heart set on an ivy league college.,Alex ended up achieving his dream of getting into the school,Alex was very lazy and got poor grades in high school.,Alex worked all day.,Alex played basketball professionally.  came into Alex's heart set. ,Alex applied to Harvard. ,Alex was excited to go to college. [SEP]Alex enrolled in a college. Alex enrolled in a college
02569869-0fae-4cfa-8de8-a52731f328d4-1,Mindy washes all the laundry for her husband and two kids.,Mindy now hand washes and air dries the family's clothes.,Mindy is starting to worry about her grandma's energy use.,Mindy's husband asked her to take a shower after his child.,Mindy's washer broke she was unable to wash.  was to get the washer too. ,Mindy's washer broke she was unable to wash. ,Mindy's husband and two kids were washing their clothes. Mindy's husband and two kids were washing their clothes. Mindy's husband and two kids were washing their clothes
02569869-0fae-4cfa-8de8-a52731f328d4-1,Mindy washes all the laundry for her husband and two kids.,Mindy now hand washes and air dries the family's clothes.,It is easy with her brand new washing machine.,Mindy brought his lot to his house after leaving for a day.,Mindy's washer broke she was unable to wash.  was to get the washer too. ,Mindy's washer broke she was unable to wash. ,Mindy's husband and two kids were washing their clothes. Mindy's husband and two kids were washing their clothes. Mindy's husband and two kids were washing their clothes
02569869-0fae-4cfa-8de8-a52731f328d4-1,Mindy washes all the laundry for her husband and two kids.,Mindy now hand washes and air dries the family's clothes.,Mindy's washing machine broke down completely.,Mindy decided to hand wash.,Mindy's washer broke she was unable to wash.  was to get the washer too. ,Mindy's washer broke she was unable to wash. ,Mindy's husband and two kids were washing their clothes. Mindy's husband and two kids were washing their clothes. Mindy's husband and two kids were washing their clothes
02569869-0fae-4cfa-8de8-a52731f328d4-1,Mindy washes all the laundry for her husband and two kids.,Mindy now hand washes and air dries the family's clothes.,The washing machine was usable from too little use.,Mindy needed the clothes.,Mindy's washer broke she was unable to wash.  was to get the washer too. ,Mindy's washer broke she was unable to wash. ,Mindy's husband and two kids were washing their clothes. Mindy's husband and two kids were washing their clothes. Mindy's husband and two kids were washing their clothes
02569869-0fae-4cfa-8de8-a52731f328d4-1,Mindy washes all the laundry for her husband and two kids.,Mindy now hand washes and air dries the family's clothes.,mindy wanted to be more energy efficient.,Mindy worked hard all summer.,Mindy's washer broke she was unable to wash.  was to get the washer too. ,Mindy's washer broke she was unable to wash. ,Mindy's husband and two kids were washing their clothes. Mindy's husband and two kids were washing their clothes. Mindy's husband and two kids were washing their clothes
0261a545-541d-4d06-86ba-7a39789674dd-1,I work at a place that believes in teamwork.,It always wastes my time.,Everyone at my office has to attend mandatory team-building exercises.,Someone there makes decisions without telling me.,I did not have a lot of work to do.  came to dry. ,I tried to start new heard. ,I was fired from my job. [SEP]I was not doing well. I was not doing well
0261a545-541d-4d06-86ba-7a39789674dd-1,I work at a place that believes in teamwork.,It always wastes my time.,My place makes us take meetings about how to work together better.,I spend too much time making the situation worse.,I did not have a lot of work to do.  came to dry. ,I tried to start new heard. ,I was fired from my job. [SEP]I was not doing well. I was not doing well
0261a545-541d-4d06-86ba-7a39789674dd-1,I work at a place that believes in teamwork.,It always wastes my time.,I like to work alone.,I didn't talk to anyone for a week.,I did not have a lot of work to do.  came to dry. ,I tried to start new heard. ,I was fired from my job. [SEP]I was not doing well. I was not doing well
0261a545-541d-4d06-86ba-7a39789674dd-1,I work at a place that believes in teamwork.,It always wastes my time.,We never have team building meetings.,They use faked resumes but I refuse to fake them.,I did not have a lot of work to do.  came to dry. ,I tried to start new heard. ,I was fired from my job. [SEP]I was not doing well. I was not doing well
0261a545-541d-4d06-86ba-7a39789674dd-1,I work at a place that believes in teamwork.,It always wastes my time.,We never have team meetings to build morale.,My boss never does a good job.,I did not have a lot of work to do.  came to dry. ,I tried to start new heard. ,I was fired from my job. [SEP]I was not doing well. I was not doing well
02acabce-8501-4b91-a81b-24d31cc05951-1,Sally goes to a school with lots of other kids.,She was very grateful.,Sally made many friends.,Sally met all her friends on school day.,Sally was new and made some friends. . ,Sally met lots of friends. ,Sally was very happy. Sally was very happy. Sally was very happy
02acabce-8501-4b91-a81b-24d31cc05951-1,Sally goes to a school with lots of other kids.,She was very grateful.,Sally is a loner and does not talk to anybody.,The school teacher fixed her out.,Sally was new and made some friends. . ,Sally met lots of friends. ,Sally was very happy. Sally was very happy. Sally was very happy
02acabce-8501-4b91-a81b-24d31cc05951-1,Sally goes to a school with lots of other kids.,She was very grateful.,Sally got bullied a lot.,Sally found some books that she liked.,Sally was new and made some friends. . ,Sally met lots of friends. ,Sally was very happy. Sally was very happy. Sally was very happy
02acabce-8501-4b91-a81b-24d31cc05951-1,Sally goes to a school with lots of other kids.,She was very grateful.,Sally was new and made some friends.,Sally received a bus ticket.,Sally was new and made some friends. . ,Sally met lots of friends. ,Sally was very happy. Sally was very happy. Sally was very happy
02acabce-8501-4b91-a81b-24d31cc05951-1,Sally goes to a school with lots of other kids.,She was very grateful.,The kids bullied Sally very badly.,Sally's teacher gave her a good grade.,Sally was new and made some friends. . ,Sally met lots of friends. ,Sally was very happy. Sally was very happy. Sally was very happy
02cda885-5c66-41fc-a191-ed400299a875-1,Cheyanne was at Easter brunch.,"She took a sip and immediately spit it out, hating the taste.",A fruit juice mixed with easter eggs was served.,Cheyannyne tasted something disgusting.,A fruit juice mixed with easter eggs was served.  she took a sip and she took a sip,A fruit juice mixed withcheGreg's he did and spit it out. ,Cheyanne's friends were eating the Easter egg. Cheyanne's friends were eating the Easter egg. Cheyanne's friends were eating the Easter egg
02cda885-5c66-41fc-a191-ed400299a875-1,Cheyanne was at Easter brunch.,"She took a sip and immediately spit it out, hating the taste.","Cheyanne decides to taste the ""heavenly mimosa"" fruit juice.",Cheanne ate her own cookies.,A fruit juice mixed with easter eggs was served.  she took a sip and she took a sip,A fruit juice mixed withcheGreg's he did and spit it out. ,Cheyanne's friends were eating the Easter egg. Cheyanne's friends were eating the Easter egg. Cheyanne's friends were eating the Easter egg
02cda885-5c66-41fc-a191-ed400299a875-1,Cheyanne was at Easter brunch.,"She took a sip and immediately spit it out, hating the taste.",Cheyanne was offered a mimosa which is champagne and blue juice.,Cheyanne forgot her toothbrush and it had an odor.,A fruit juice mixed with easter eggs was served.  she took a sip and she took a sip,A fruit juice mixed withcheGreg's he did and spit it out. ,Cheyanne's friends were eating the Easter egg. Cheyanne's friends were eating the Easter egg. Cheyanne's friends were eating the Easter egg
02cda885-5c66-41fc-a191-ed400299a875-1,Cheyanne was at Easter brunch.,"She took a sip and immediately spit it out, hating the taste.",Cheyanne's friend suggested she try some green tea.,Cheyanne's bacon was eaten and she spit it out.,A fruit juice mixed with easter eggs was served.  she took a sip and she took a sip,A fruit juice mixed withcheGreg's he did and spit it out. ,Cheyanne's friends were eating the Easter egg. Cheyanne's friends were eating the Easter egg. Cheyanne's friends were eating the Easter egg
0309947b-fc72-43a9-9b24-58fe544476fb-1,Gina's pencils had been missing for 2 days.,But it was time to give up her search.,Gina kept looking and eventually found them.,Gina searched all over the city.,Gina looked for it for awhile.  wasrelieved. ,Gina looked for it. ,Gina found a pencil in her pocket. Gina found a pencil in her pocket. Gina found a pencil in her purse
0309947b-fc72-43a9-9b24-58fe544476fb-1,Gina's pencils had been missing for 2 days.,But it was time to give up her search.,Gina looked for it for awhile.,Gina looked all over the house for the pencils.,Gina looked for it for awhile.  wasrelieved. ,Gina looked for it. ,Gina found a pencil in her pocket. Gina found a pencil in her pocket. Gina found a pencil in her purse
0309947b-fc72-43a9-9b24-58fe544476fb-1,Gina's pencils had been missing for 2 days.,But it was time to give up her search.,Gina didn't bother to look for it.,Gina searched for the pencils everywhere.,Gina looked for it for awhile.  wasrelieved. ,Gina looked for it. ,Gina found a pencil in her pocket. Gina found a pencil in her pocket. Gina found a pencil in her purse
0309947b-fc72-43a9-9b24-58fe544476fb-1,Gina's pencils had been missing for 2 days.,But it was time to give up her search.,She really wanted to find them.,"She searched for days, but didn't find any.",Gina looked for it for awhile.  wasrelieved. ,Gina looked for it. ,Gina found a pencil in her pocket. Gina found a pencil in her pocket. Gina found a pencil in her purse
032b5661-be5f-4e93-8ec4-4c14874f52a1-1,Jane was sitting on a bench at the park.,The bird ate it.,Jane accidentally dropped her book.,Jane saw a bird and approached it.,Jane throws the last bite of her sandwich on the ground.  came and ate the last bite. ,Jane throws pieces of her sandwich on the ground. ,Jane was sitting on the bench. Jane was very tired. Jane was sitting on the bench
032b5661-be5f-4e93-8ec4-4c14874f52a1-1,Jane was sitting on a bench at the park.,The bird ate it.,Jane threw pieces of metal on the ground.,Jane was eating a bird.,Jane throws the last bite of her sandwich on the ground.  came and ate the last bite. ,Jane throws pieces of her sandwich on the ground. ,Jane was sitting on the bench. Jane was very tired. Jane was sitting on the bench
032b5661-be5f-4e93-8ec4-4c14874f52a1-1,Jane was sitting on a bench at the park.,The bird ate it.,Jane threw a soda on the ground.,Jane came across a sick bird.,Jane throws the last bite of her sandwich on the ground.  came and ate the last bite. ,Jane throws pieces of her sandwich on the ground. ,Jane was sitting on the bench. Jane was very tired. Jane was sitting on the bench
03393bcb-97d5-4a80-a1a3-6862aac5cc9a-1,Jane cooked spinach and chicken for dinner.,"Upon hearing this, her kids gobbled up the spinach!",Her kids liked spinach.,Jane decided to give her kids spinach.,Jane was worried her kids would not eat it.  came out!. ,Jane cooked the chicken for her kids. ,Jane's family ate the spinach. Jane's family ate the spinach. Jane's family ate the spinach
03393bcb-97d5-4a80-a1a3-6862aac5cc9a-1,Jane cooked spinach and chicken for dinner.,"Upon hearing this, her kids gobbled up the spinach!",Jane promised her kids dessert if they ate the spinach.,"Jane threw in dinner at school, and then she cooked the spinach into dinner.",Jane was worried her kids would not eat it.  came out!. ,Jane cooked the chicken for her kids. ,Jane's family ate the spinach. Jane's family ate the spinach. Jane's family ate the spinach
03393bcb-97d5-4a80-a1a3-6862aac5cc9a-1,Jane cooked spinach and chicken for dinner.,"Upon hearing this, her kids gobbled up the spinach!",Jane told her kids that spinach would make them strong like Popeye.,Jane decided to give the vegetables to her kids.,Jane was worried her kids would not eat it.  came out!. ,Jane cooked the chicken for her kids. ,Jane's family ate the spinach. Jane's family ate the spinach. Jane's family ate the spinach
03393bcb-97d5-4a80-a1a3-6862aac5cc9a-1,Jane cooked spinach and chicken for dinner.,"Upon hearing this, her kids gobbled up the spinach!",Jane told the kids if they ate the spinach she would give them candy.,Jane gave her kids spinach for dinner.,Jane was worried her kids would not eat it.  came out!. ,Jane cooked the chicken for her kids. ,Jane's family ate the spinach. Jane's family ate the spinach. Jane's family ate the spinach
035170ce-cf73-4737-9f68-bcdea70270c2-1,My high school band went to New york.,It was an exhausting experience.,I had to carry my timpani set through the subway.,We spent the whole weekend touring the bands shows.,I went on a tour of the sights.  was the last time I went. ,The band and had a tour of the sights. ,My bandmates were very happy. [SEP]My bandmates were very nervous. My bandmates were nervous
