observation1, observation2, generated hypothesis, real hypothesis
My best friend got married and moved to Hawaii.,We celebrated for days and I left for home at the end of the week.,My best friend got married there. i had a great time with her. i had a great time with her,I went with her to celebrate.
Tom went to an electronics store to buy earphones.,Tom decided to always buy more expensive ear phones.,The electronics store was full of unwanted earphones. he bought many earphones. he went to the store,Tom was an elitist.
Kaya needed to buy a new dress for the upcoming Spring Formal.,She couldn't resist so she bought the antique vase.,Kaya found a beautiful vintage dress at the thrift store. she wanted to see if she could find something. she went to the store to look for antique vases,At the store Kaya saw a very beautiful vase.
Sam came home to find water all over his kitchen floor.,Sam restocked his new fridge with all his favorite food.,Sam was happy to find the fridge empty. So he decided to go to the store and buy some food. So he had to buy groceries,Sam dishwasher broke and was leaking.
Anna had a bad headache.,Thankfully when she awoke the headache was gone.,Anna had a headache and was sleepy. She had a nightmare. She woke up and felt a strange urge to snorkel,Anna took a few asprins and laid down and took a nap.
Last night I had a dream about biking.,I woke up bitterly disappointed.,I didn't think I could ride the bike. I fell off the bike. I fell off the bike,my dream was very real and I was on a fun bike tour.
It was starting to get late outside.,Her parents grounded her for a week for being late.,She decided to skip school and go home early. She decided to stay home and didn't go to school. She decided to stay home,She forgot what time it was and was home late.
Kim wanted to buy a car.,Kim was hired to a job and saved enough money for her car.,Kim went to a car dealership. Kim wanted to hire a car. Kim did a lot of research,Kim applied for jobs to make money.
Joe was running late for school.,Joe had a tasty healthy breakfast of apples and bananas!,Joe was running late for his test. So he decided to start running. So he ran straight to the store,Joe didn't have time to cook something.
Tim needed a fruit to eat.,Finally he found some fresh grapes to eat.,Tim went to the store to buy fruit. He had to buy grapes. So he went to the store,Tim looked for a long time in the messy fridge.
Gina's mom had taken a rap tape from her kids.,He stood smiling as his tape was smashed.,Gina's mom said the rap was awful. Gina's mom said the rap was awful. Gina's mom said the rap was awful,The rap tape was mean and rude.
Kelly loves to eat sweet desserts.,We all ate the brownie sundae for dessert.,Kelly's mom made us brownies. So Kelly's mom made her some brownies. So she made them with her hands,We ordered a dessert everyone would like.
Ora had always been overweight.,With their help Ora lost over twenty pounds!,Ora decided to join a gym. Ora wanted to lose weight. So she joined a weight loss group,Ora decided to eat healthy for a month.
Priya decided to try a new restaurant.,Priya thought her food was delicious.,She ordered sushi and it was delicious. She went to a local sushi restaurant. So she decided to try a new restaurant,She ordered two shrimp dishes.
Jamie and Candice were going on a date.,Finally they settled on ice cream!,Jamie and Candice went to the store. They decided to go to the store. They had to pick out a date,Jamie and Candice couldn't decide what to do.
Scott has felt increasingly unhappy in his last few Year's in New York.,Driving out of New York Scott feels both relieved and nostalgic.,Scott drove to New York to get away from his friends. i wants to go somewhere. i wanted to go somewhere,The daily grind extreme traffic and rude city dwellers left Scott longing for small town living.
I went to the store one day to buy clothes.,I went home and the jeans fit much better.,I went to the store and found a pair of new jeans. I needed a new pair of jeans. I went to the store,I got larger sizes.
Sam was on a date with her boyfriend.,When her boyfriend asked if she wanted to hang out she yelled at him.,Sam's boyfriend was mean to her. Sam's boyfriend was mean to her. Sam's boyfriend was mean to her,They ran into a cute friend of Sam's on the way to dinner.
Pam does surveys daily to try to win prizes on Survey Monkey.,Pam did not seem to think there was anything wrong with that.,Pam was offered a free survey to do.  asks a lot of questions. So he decided to do the survey,Pam wasted time with doing her surveys.
Lydia had a strange dream last night.,Lydia wished the dream were real.,She woke up screaming. She woke up screaming. She was dreaming about her boyfriend,In Lydia's dream she was rich and famous.
Dana always wanted to ride a bike.,They were riding around together within minutes.,Dana and her friend Gina decided to go to the park. They went to the park. They met up with friends,Dana asked a neighbor to ride with her.
Kelly wanted to try out for soccer this year.,Kelly celebrated by getting pizza.,Kelly made a soccer team. So Kelly went to a local pizza place. So Kelly went to a pizza place,Kelly made it onto the team.
Tom was excited to use his new gas grill.,Tom's garage and grill were both destroyed.,Tom left the grill open and it started to smell. and the grill caught fire. and the grill caught fire,Tom didn't check the grill's safety.
Martin went to camp with his friends.,Martin caught many fish so that everyone could eat.,Martin went fishing with his friends. They went fishing. They went to the lake,He was the best fisherman of the group.
Sam was excited to get his car washed.,He had forgotten to close the window in all the excitement.,Sam's car was washed out. He decided to wash his car. So he had to do it,After the car wash Sam noticed his car seats were all soaking wet.
May really wanted to go to the concert that was playing next week.,A kind reader wrote back to offer her two free tickets to the concert!,May called her friend and asked her to come to the concert. So she said yes. So asked for a ticket,May sent out tweets looking for tickets.
Mindy decided to go over jake's house.,She panicked and ran screaming out of his house.,Mindy saw a snake in the kitchen. he was scared. he was scared,When Mindy walked in the door Jake was naked.
I was having trouble finding my comfortable slippers.,Finders keepers she told me.,I asked a friend if she could help me. I needed to buy new slippers for my room. I couldn't find my slippers,My sister stole my slippers.
I did not like the color of my lips.,Over time people at school accepted me for the person I wished to be.,I was pressured to wear pink and I accepted. [SEP]I went to a party and everyone was wearing pink. I wanted to be like my sister,I used a marker to paint them bright pink.
A family went shopping together.,The father bought the boy a new computer.,The parents were ashamed of their son. The son was not allowed to shop. The son wanted to buy a computer,Their son was very well behaved.
I was working on my laptop one day.,After paying the bill I no longer experienced issues.,I decided to hire a plumber to fix my computer. I had to hire a plumber to fix my computer. I had to hire a plumber,The internet was very slow and then stopped completely.
Isa was getting married but couldn't afford a bouquet.,Isa ended up with a beautiful hand picked bouquet!,Isa wanted to make something special for her wedding. Isa wanted to make a bouquet of flowers. SoIsa bought some flowers,Isa went to the country site and found some flowers.
There is a beaver that has been building a dam by our school.,The beaver decided to leave the area and went further down stream.,The beaver was attacked by a small dog. i was worried about the beaver. i was worried about the beaver,People destroyed the dam the beaver was building.
My family was on vacation in Italy.,It was our favorite picture of the vacation.,We took a family photo. We decided to take a family photo. We decided to take a picture of the family,We took a photo next to the coliseum in Rome.
I told Bill not to go to Lansing.,He got in an accident on the highway he should of listened.,Bill drove to the nearest auto dealership. he was driving to a dealership. he was driving to the wrong place,bill said he would be fine and left.
Liv wanted to dance ballet.,Liv's classmates her so jealous and shocked!,Liv's ballet class was very good. She practiced every day. She tried out for a ballet show,Liv's mother signed her up.
A little boy sick in a hospital worshiped a famous basketball player.,Standing in front of the coffee shop was the ball player!,The player was a very good basketball player. So he decided to try out for a basketball team. So he decided to try out for a team,One day a nurse said they should go to the coffee shop for a treat.
Jake was off roading.,He had to get help to get out.,Jake was driving and got into an accident. He was not paying attention. He was driving too fast,Jake got stuff in the mud.
I got a new racing game yesterday.,Finally after hours of playing I stopped.,I raced down the track. I raced down the track. I wanted to race,I sat down to test out the game.
Freda is the boss of her office.,Freda can't understand why people have a problem with her!,Freda has a bad attitude. She has a bad attitude. She has a bad attitude,She doesn't ask nicely to get things done.
Carly had just called her kids in from playing outside.,Then she put some medicated lotion on her and hoped it would pass.,Carly's kids started crying. They were playing and they got scared. They were scared,Carly noticed her daughter had gotten into Poison Ivy.
Alexis had cut down a Christmas tree in the woods.,When she put it up it was the right size for her ceiling.,Alexis was worried about the tree. The tree was too tall. it was too heavy,Alexis was worried it would be too big.
Francine had always dreamed of being a fashion designer.,She was so proud that she followed her dreams.,Francine worked very hard to become a fashion designer. She wanted to be a model. She worked very hard,Francine decided to go to school to pursue her dreams.
Jack went to his first basketball game with his dad.,As the crowd cheered Jack knew they'd never forget his first game.,Jack played his first game for his dad. win the game. win the game,Jack saw how wild the crowd was getting.
Nathan bullied a lot of other boys at school.,Nathan knew his violence would never prevent his own abuse.,Nathan was picked on by the other boys in school. Nathan was picked on by the other boys in school. Nathan was picked on by the other boys in school,Nathan got detention in school.
Mike made homemade pasta one day.,Pasta is now a regular staple of Mike's diet.,Mike decided to make some homemade pasta. Mike made some homemade pasta. Mike decided to make some homemade pasta,Mile loves italian food.
Randy's friend gave him directions to his house.,Randy told his friend how relieved he was he found it.,Randy's friend found his house. and his car broke down. and he had to go to the store,He didn't know that part of town very good.
Cay had a crush on a boy in her class.,He smiled at her after and said he liked her too!,Cay's friend introduced her to a new boy in her class. So he asked her out. So she said yes,Cat sent a love note to the boy.
Lacy and Karen got in a fight.,Karen apologized too so they could be friends again.,Karen got angry at her. Karen didn't listen to her. Karen told her to stop talking,Karen missed Lacy so much she couldn't bear not talking to her friend.
My friend had an announcement to make.,So I put on a smile and wished him the best of luck.,My friend was very excited. So I invited him to a game. So I asked him to join my team,my friend usually talks about some business deal.
George was about to participate in his first professional fight.,George proved his skills and won his first match.,George trained for his upcoming fight. So he decided to practice. So he worked out,George was the underdog but he had been training months to compete in this event.
Bob and his kids love football.,Bob and his kids share a hug to celebrate the win.,Bob's kids win the football game. They played football together. They played football together,The team that Bob and his kids like won.
Alex was at target with his mom.,He begged his mother to buy it until she gave in.,Alex was going to buy a gun. Alex wanted to buy a gun. So he asked his mother if she wanted to buy him a toy,Alex saw a game he really wanted.
Nova dreamed of being a professional dancer.,Nova's second choice accepted her.,Nova was asked to dance by a professional. She was nervous but she was confident. So she decided to try dancing,Nova applied to a few dance schools but was denied by her first choice.
Carla and Sam spent the morning building a sand castle.,The tide had rolled in smashing it.,The sand castle began to flood. The sand castle was very large. The sand castle was very big,The sand castle was built right on the shore.
Tami was in the 8th grade.,Tami made up her mind to try out for the JV Volleyball team.,Tami dreaded the first week of the season. she tried out for the varsity team. she was told she was too big,Tami was tall for her age.
Donald is running for president.,Hopefully he loses the election.,Donald is not popular and has lost. Donald has been very honest in his campaign. Donald has always been very honest,Donald is not the candidate I want for president.
I was very out of shape.,After weeks of jumping rope I began to feel excellent.,I started to exercise more. I started to workout every day. I started to workout every day,I had rope that I used for jumping at home.
Ora's mom told her that the family had a very high gas bill.,Ora was unhappy but she understood.,Ora's mom said the gas bill was $50000. So she asked her mother if she could borrow some money. it was expensive,Ora's mom kicked her out of the house so their gas bill would reduce.
Some dog kept me awake till I could not take it anymore.,I gave the puppy the food and I went back to bed both of us happy.,My puppy ate a large chunk of my tuna sandwich. I fed my puppy tuna. i ate a tuna sandwich,I got up and tried to find out why they kept barking.
Dan entered an eating contest at his local fair.,Dan lost the contest and was sick for days.,Dan ate way too much and didn't finish his food. He was very hungry. So he didn't finish his food,Dan tried to eat 30 cold hot dogs.
Melissa's friend was coming for a visit.,Luckily when Melissa pointed this out her friend apologized.,Melissa's friend didn't like her cooking. Melissa's friend made a joke. Melissa's friend made a joke,Melissa's friend insisted they go out to eat somewhere Melissa hated.
Nell's teacher admired her artistic student.,The teacher was impressed that Nell drew an X-ray of an animal.,Nell was a talented student. So she decided to do her own art project. Nell wanted to do a self-portait of herself,Nell was told to do something unexpected.
Eli didn't know how to tie his shoes.,Eli learned and now ties like a pro.,Eli decided to learn to tie his own shoes. So he asked his friend to teach him. he asked for help,eli asked his dad how to tie his shoes.
When Francine was a little girl her favorite treat was cotton candy.,She purchased a bag to share with her friends.,Her friends brought her some and she loved it. So she decided to try it. i asked if she wanted to try it,She was anxious to buy some today.
Ben went to the beach on a sunny day.,Ben crawled into his tent and napped.,Ben was tired and wanted to sleep. Ben wanted to sleep in the tent. So he decided to go to the beach,Ben spent hours sitting in the sun.
Tili wanted to escape from prison.,Tili's escape attempt was stopped and punished.,Tilson was caught stealing from the police. He decided to steal a car. He tried to rob a bank,Tili ran for the prison gate one night.
Sam had to pay off his credit card debt.,Sam eventually made enough to pay off his credit card debt.,Sam worked hard to save up his money.  to buy a house.  to buy a house,Sam decided to work two jobs to pay off his debt.
Katie had let her kitchen get pretty messy.,She used bleach to be sure that it was clean and safe.,Katie was not very careful with bleach. She used bleach to clean the kitchen. She was not careful with the bleach,Katie needed to hurry and get it clean.
Randy's friend gave him directions to his house.,Randy saw the house but kept on driving and didn't come back.,Randy decided to drive to his friend's house. and ran into a house. and went to the house,The house had boarded windows and looked bad.
I was driving on the highway when my car suddenly broke down.,Turns out my insurance covered the tow truck and the rest was cheap!,I called a tow truck and they came to pick me up. I had to drive to the nearest hospital. I had to be in a hurry,I called my insurance company to see if I could get assistance.
Tia was in college and went home for the holidays.,Before she left her father told her that they were getting a divorce.,Tia was going to the movies with her father. She was tired of being tired. She wanted to go home,Tia had dinner with her parents.
Joe's mother bugged him constantly to tie his shoelaces.,As he lay at the bottom of the stairs he wished he'd listened.,Joe's mother was upset he couldn't tie his shoes. he was tired of being tied. he wanted to try something new,Joe tripped down the stairs with his shoes untied.
Nita was playing rummy with her dad.,Nita was so happy she finally beat her dad at rummy.,Nita's dad beat her at rummy. She played with her friends. So she played with her friends,Nita was never able to beat her Dad.
Fred had a job at the fair to fill the balloons.,The balloon popped in his face!,He set the balloon on the ground. He popped a balloon on the stage. He was excited to put the balloons on the stage,Fred saw a child come over with a pin.
Samantha's dad always taught her how to be self-sufficient.,Samantha was very grateful to be able to get home safely.,Samantha's dad was able to help her with a lot of chores. So she decided to take a job as a nurse. So she decided to take a job as a nurse,She had a flat tire and changed it.
I used my ruined treehouse to build a fort.,The new fort is twice as good as the old treehouse.,I decided to build a new fort. I had to build a new one. I had to build a new one,It was the right size.
Mike had to go to the doctor.,All the blood work came back clear and he was relieved.,Mike went to the doctor. He had a blood infection. He had to go to the doctor,Mike complained of soreness in his kidneys.
Everyone thought it was funny that Rocky played hockey.,Well Rocket prefers the term Aerospace Engineer.,Rover was a scientist who worked on a rocket. He was a scientist who worked on a rocket. he was a scientist who worked on a rocket,Rocky was very good at playing hockey.
Arnold was scared of girls.,He nearly fainted.,Arnold saw a girl run into a store. He was scared. He was scared of the girl,A girl came up to hug him one day.
Six year old Bobby wanted a cat very badly.,Bobby was overjoyed when his mother said the cat could stay.,Bobby's mother bought him a cat. Bobby's mother got him a cat. Bobby's mother said he could keep it,Bobby found a cat in the garden.
There was a unique pair of louboutin sandals Lucy had to have.,Finally by chance she stumbled across a pair.,Lucy could not find the right one. Lucy looked everywhere for the perfect pair. lucy couldn't find the perfect one,Lucy looked for the sandals everywhere but could never find them.
My dad and I like to hunt for worms.,My dad and I decided to sell some worms and use the rest for fishing.,We found a worm and it was for us. We went to the store to buy some worms. We went to the store,We love to go fishing.
We decided to move to a new town next year.,It will be a fun adventure.,We love the new town. We decided to move to a new town. We had a great time,We got sick of this town.
Heather stole Ryan's phone.,Ryan snatched his phone back and reported Heather to administration.,Ryan called Heather's phone and told her it was a scam. i called to see if anyone had seen his phone. i was able to get his phone back,Heather kept the phone away from Ryan.
Tracy E Warren keeps his house cleaner than any woman.,Finally I just asked him and he said he has a maid so now I know.,Tracy's husband was a maid. he was a maid. on a date,I asked him how it is so clean.
Kya was trying to be vegan.,Before long being vegan was effortless.,Kya decided to try a new vegan restaurant. Kya decided to try a new food. Kya decided to try a new food,At first it was hard but she persevered.
Today I bought a solar panel system for my house.,I hope the system pays for itself within ten years.,I was charged with money for the solar system. I had to pay for it. I had to pay for it,The system was very expensive to have installed.
My parents live a few blocks from me.,Somehow there was enough room and it was a lot of fun.,I moved to a smaller apartment. I moved out when I was 35. I moved to a new house,We all had dinner at my tiny house.
Lilly sent a lovely table for her dinner party.,She didn't tell anyone the cat had been licking it.,Lilly's cat was licking the table. She decided to clean it up. She spilled a drink on the table,there was a piece of steak on a plate.
Helen hung up the stocking on the railing.,And someone had put presents in her stocking!,Helen put the presents in the basket. The family came over to watch the party. The family was waiting for the party,Helen went to sleep.
Tim wanted to mail a gift to his mom in a different state.,Tim left an apology in her voicemail and promised to call her later.,Tim's mom did not like the gift. it was a gift for her boyfriend. it was a gift for Tim,Tim forgot the gift in his car until after her birthday.
Greg was arrested for manslaughter.,So Greg was convicted.,Greg hit another car and hit another car. Greg drove recklessly. Greg hit a car,greg had not called the police right away.
Joe could not remember his address.,After that he always remembered it.,Joe could not remember his address when he went to work. [SEP]He finally went back to his desk and got his address. i was worried about missing his address,Joe could not have a pizza delivered.
Nadia needed new ballet shoes.,After her first dance show she paid him back.,Nadia went to a dance studio. She worked very hard. So she asked her friend to dance,A friend bought Nadia a pair.
Michael loved to play basketball but wasn't very good.,He made the team and went on to be a star.,Michael practiced hard for years. So he tried out for the team. So he got a try out,Matthew read the basketball rules and practiced the game.
Mike was an incredible Chess player.,Joseph won the chess game and Mike was humbled.,Mike was not very good at chess. So he didnt know how to play. So he didnt know how to play,Joseph could tell Mike was playing too over-confidently.
Lisa was going home.,The next day Lucy missed Lisa when she saw their drawings.,Lucy's mother never showed up. Lucy's mother didn't come home. Lucy's mother was going to visit,Lucy shared supplies in art class with Lisa they bonded.
Martha was a terrible cook and her boyfriend knew it.,After a while everything Martha cooked was delicious.,Martha cooked a pot roast for her boyfriend. Martha decided to make a pot roast. Martha wanted to make a pot roast,Martha worked hard to learn some recipies.
Lucy was at home waiting for her husband.,Lucy's husband was excited and thrill.,Lucy's husband was coming home early. So she went to the park. So she went to the park,Her husband did not expect Lucy to be home yet.
Kelsi was new at school and wanted to make new friends.,Lucy was happy she was able to have a best friend finally.,Lucy was not sure if she would like new people. Lucy was lonely. Lucy was lonely,Kelsi saw Lucy was reading the same book she was.
I saved up money for a long time.,I took the boat out on the lake and felt happy.,I decided to buy a sailboat instead. I wanted to go fishing. I sailed the boat,i had enough money to spend on food and extra stuff.
Jake had a new toy Spiderman silly string web slinger.,Dan's mother posted photo's on Facebook of Dan covered in silly string,Dan got a new toy spiderman. Dan was excited about his new toy. Dan bought a new toy spiderman,Jake decided Dan was the Green Goblin.
Margo was going to the Rocky Horror Picture Show.,Eventually the show was over.,Margo had to cancel the show. mason had to cancel. mason had to go to the hospital,Margo sat down to watch.
Barry loves playing baseball.,Barry also bought a hot dog.,Barry's favorite food was a hotdog. Barry wanted to try a new food. So he went to a local restaurant,Barry's team won the game today.
Erina's first day at her new job was today.,Her new boss complimented her on her performance.,She was nervous but did a good job. She was nervous about her new job. She had a good interview,Erina gave it her all and did well.
Penny was five Year's old and loved to play video games.,The screen cracked and she was unable to play for a month.,Penny's computer stopped working one day. She played all day. She played a lot,Penny dropped her game on accident.
Amy went to get frozen yogurt on her break.,Amy ended up throwing most of the yogurt in the trash.,Amy ate too much yogurt. Amy was too hot. Amy was hot,Amy was called back to work and her frozen yogurt melted.
Ellen wanted to know if she could wear leggings while tap dancing.,Ellen decided to wear whatever she wanted in the future.,Ellen saw a girl wearing a leggings. She decided to try something new. So she decided to try a new pair of leggings,Ellen realized that she could.
Lily wanted a new Halloween costume.,She ended up making a rabbit costume.,Lily went to the store and bought a rabbit costume. Lily went to the store. Lily went to the store,All the costumes were gone though.
Once there was a girl named Mia who could spell well.,Mia won the spelling bee and felt more sure of herself afterwards.,Mia was a very good speller. Mia studied hard and got a spelling bee. Mia studied for years,She studied hard because she wanted to spell.
Everyone at my bus stop were waiting for the bus.,My teacher told me to stand outside since I came too late.,I didn't have a permit to walk to school. I was late for the bus. I had to walk to school,The bus was late and so was I to school.
Jean wanted to travel to Africa.,Jean's trip to Africa was better than she had hoped.,Jean decided to travel to the country. and went to Kenya. and went to the capital city,Jean booked her trip and went.
Mary had never made rice before.,She resolved to read directions next time!,Mary's rice was a little out of control. Mary did not follow the directions. Mary did not follow the directions,The rice Mary put on the stove out over and burned on the stove.
Brad woke up late this morning.,He had worn 2 different pairs of shoes to work this morning.,Brad was running late and needed new shoes. So he went to the store to buy new shoes. So he bought a pair of shoes,Brad rushed to work.
I was getting ready to leave my hotel room for the day.,I was relieved that it was only a drill.,I went to work and the fire alarm went off. I started a fire in my room. I started a fire in my room,I heard loud fire alarm.
For a lark I started dragging my foot behind me at work.,He told me to knock it off.,I tried to stop him. I tried to stop him. I tried to stop him,My shoes made a really loud sound in front of my boss.
Tony liked art.,Tony then went back to school and found a different major.,Tony had his major in art and then went back to school. Tony had to go to college. Tony was not doing well in his major,Tony applies for a lot of art gallery jobs and got rejected.
